Epoch,AUPRC,Loss,BCE,KLD
1,0.2926,11.2715,11.2715,0.0000
2,0.3188,10.5760,10.5760,0.0000
3,0.3277,10.3616,10.3616,0.0000
4,0.3416,10.1933,10.1933,0.0000
5,0.3468,10.0397,10.0397,0.0000
6,0.3501,9.9467,9.9467,0.0000
7,0.3548,9.8873,9.8873,0.0000
8,0.3607,9.8402,9.8402,0.0000
9,0.3617,9.7844,9.7844,0.0000
10,0.3648,9.7241,9.7241,0.0000
11,0.3653,9.6644,9.6644,0.0000
12,0.3669,9.6708,9.6708,0.0000
13,0.3687,9.6331,9.6331,0.0000
14,0.3688,9.6246,9.6246,0.0000
15,0.3689,9.5367,9.5367,0.0000
16,0.3687,9.5648,9.5648,0.0000
17,0.3686,9.4895,9.4895,0.0000
18,0.3695,9.5094,9.5094,0.0000
19,0.3696,9.4925,9.4925,0.0000
20,0.3690,9.4924,9.4924,0.0000
21,0.3692,9.4791,9.4791,0.0000
22,0.3693,9.4774,9.4774,0.0000
23,0.3693,9.4777,9.4777,0.0000
24,0.3695,9.4557,9.4557,0.0000
25,0.3695,9.4595,9.4595,0.0000
26,0.3697,9.4383,9.4383,0.0000
27,0.3698,9.4464,9.4464,0.0000
28,0.3699,9.4558,9.4558,0.0000
29,0.3700,9.4038,9.4038,0.0000
30,0.3701,9.4195,9.4195,0.0000
31,0.3701,9.4265,9.4265,0.0000
32,0.3703,9.4209,9.4209,0.0000
33,0.3702,9.4248,9.4248,0.0000
34,0.3702,9.4433,9.4433,0.0000
35,0.3703,9.4113,9.4113,0.0000
36,0.3702,9.4199,9.4199,0.0000
37,0.3703,9.4240,9.4240,0.0000
38,0.3703,9.4063,9.4063,0.0000
39,0.3703,9.4106,9.4106,0.0000
40,0.3703,9.4070,9.4070,0.0000
41,0.3703,9.4265,9.4265,0.0000
42,0.3703,9.4162,9.4162,0.0000
43,0.3703,9.4090,9.4090,0.0000
44,0.3704,9.4055,9.4055,0.0000
45,0.3704,9.3877,9.3877,0.0000
46,0.3704,9.4260,9.4260,0.0000
47,0.3704,9.4160,9.4160,0.0000
48,0.3704,9.4044,9.4044,0.0000
49,0.3704,9.4188,9.4188,0.0000
50,0.3704,9.4074,9.4074,0.0000
