Epoch,AUPRC,Loss,BCE,KLD
1,0.2639,7.5214,5.1261,2.3953
2,0.2986,4.6789,4.6768,0.0021
3,0.3150,4.5958,4.5953,0.0005
4,0.3352,4.5573,4.5567,0.0005
5,0.3409,4.5219,4.5213,0.0006
6,0.3414,4.4977,4.4974,0.0003
7,0.3393,4.4778,4.4775,0.0003
8,0.3417,4.4518,4.4515,0.0003
9,0.3448,4.4335,4.4332,0.0003
10,0.3458,4.4309,4.4306,0.0003
11,0.3489,4.4125,4.4124,0.0002
12,0.3535,4.4146,4.4144,0.0002
13,0.3534,4.3912,4.3910,0.0002
14,0.3504,4.4064,4.4063,0.0002
15,0.3501,4.3789,4.3787,0.0002
16,0.3493,4.3665,4.3664,0.0001
17,0.3501,4.3647,4.3646,0.0001
18,0.3502,4.3800,4.3799,0.0001
19,0.3507,4.3714,4.3713,0.0001
20,0.3529,4.3587,4.3586,0.0001
