Epoch,AUPRC,Loss,BCE,KLD
1,0.2702,13.0005,11.3396,247.8905
2,0.2998,10.9432,10.6921,37.4851
3,0.3125,10.5119,10.4364,11.2642
4,0.3252,10.3657,10.3298,5.3607
5,0.3345,10.2168,10.1934,3.4894
6,0.3404,10.0939,10.0759,2.6809
7,0.3453,10.0499,10.0343,2.3411
8,0.3498,9.9732,9.9589,2.1288
9,0.3547,9.9247,9.9113,1.9989
10,0.3604,9.9026,9.8904,1.8321
11,0.3621,9.8232,9.8117,1.7264
12,0.3638,9.8151,9.8041,1.6520
13,0.3634,9.7824,9.7712,1.6755
14,0.3640,9.7635,9.7529,1.5828
15,0.3657,9.7464,9.7355,1.6367
16,0.3664,9.7169,9.7064,1.5671
17,0.3671,9.7239,9.7138,1.5073
18,0.3671,9.7109,9.7006,1.5259
19,0.3676,9.6767,9.6668,1.4740
20,0.3679,9.6676,9.6579,1.4468
21,0.3680,9.6802,9.6704,1.4613
22,0.3682,9.6618,9.6524,1.4101
23,0.3685,9.6516,9.6421,1.4147
24,0.3686,9.6860,9.6766,1.3943
25,0.3689,9.6681,9.6587,1.4095
26,0.3688,9.6400,9.6307,1.3886
27,0.3689,9.6179,9.6083,1.4208
28,0.3691,9.6345,9.6252,1.3805
29,0.3693,9.6308,9.6216,1.3768
30,0.3693,9.6509,9.6417,1.3679
31,0.3694,9.6540,9.6448,1.3643
32,0.3694,9.6340,9.6249,1.3675
33,0.3695,9.6123,9.6032,1.3535
34,0.3696,9.6431,9.6340,1.3582
35,0.3697,9.6339,9.6248,1.3586
36,0.3697,9.6377,9.6286,1.3602
37,0.3698,9.6058,9.5967,1.3554
38,0.3699,9.6117,9.6027,1.3577
39,0.3699,9.6014,9.5923,1.3535
40,0.3698,9.6266,9.6175,1.3520
41,0.3699,9.6044,9.5953,1.3539
42,0.3699,9.6424,9.6332,1.3638
43,0.3699,9.6156,9.6061,1.4175
44,0.3700,9.6189,9.6095,1.4045
45,0.3700,9.6080,9.5989,1.3486
46,0.3700,9.6062,9.5971,1.3526
47,0.3700,9.6362,9.6272,1.3547
48,0.3700,9.6159,9.6067,1.3809
49,0.3700,9.5926,9.5836,1.3485
50,0.3700,9.6354,9.6264,1.3490
